City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
New York City,40.7143,-74.006,8.52,63,20,6.6,2021-11-22 21:00:00
New York City,40.7143,-74.006,5.72,35,82,7.13,2021-11-23 21:00:00
New York City,40.7143,-74.006,8.49,32,1,3.27,2021-11-24 21:00:00
New York City,40.7143,-74.006,11.4,42,93,3.34,2021-11-25 21:00:00
New York City,40.7143,-74.006,5.34,51,61,8.72,2021-11-26 21:00:00
Los Angeles,34.0522,-118.2437,27.92,13,1,0.93,2021-11-22 21:00:00
Los Angeles,34.0522,-118.2437,22.83,23,2,2.11,2021-11-23 21:00:00
Los Angeles,34.0522,-118.2437,22.24,28,0,1.92,2021-11-24 21:00:00
Los Angeles,34.0522,-118.2437,23.47,6,0,1.12,2021-11-25 21:00:00
Los Angeles,34.0522,-118.2437,24.87,5,14,1.28,2021-11-26 21:00:00
Chicago,41.85,-87.65,2.17,30,20,5.25,2021-11-22 21:00:00
Chicago,41.85,-87.65,6.0,34,11,5.62,2021-11-23 21:00:00
Chicago,41.85,-87.65,10.67,51,100,7.23,2021-11-24 21:00:00
Chicago,41.85,-87.65,4.7,55,100,6.18,2021-11-25 21:00:00
Chicago,41.85,-87.65,0.54,27,100,1.51,2021-11-26 21:00:00
Houston,29.7633,-95.3633,21.52,48,1,4.76,2021-11-22 21:00:00
Houston,29.7633,-95.3633,20.12,38,85,4.3,2021-11-23 21:00:00
Houston,29.7633,-95.3633,21.89,69,100,4.99,2021-11-24 21:00:00
Houston,29.7633,-95.3633,18.97,94,100,3.31,2021-11-25 21:00:00
Houston,29.7633,-95.3633,16.03,42,100,3.2,2021-11-26 21:00:00
Phoenix,33.4484,-112.074,26.8,18,40,3.46,2021-11-22 21:00:00
Phoenix,33.4484,-112.074,25.36,19,93,1.85,2021-11-23 21:00:00
Phoenix,33.4484,-112.074,23.12,22,100,2.37,2021-11-24 21:00:00
Phoenix,33.4484,-112.074,24.04,11,0,3.46,2021-11-25 21:00:00
Phoenix,33.4484,-112.074,23.41,14,0,1.83,2021-11-26 21:00:00
Philadelphia,39.9523,-75.1638,9.04,62,20,5.34,2021-11-22 21:00:00
Philadelphia,39.9523,-75.1638,5.97,34,98,4.32,2021-11-23 21:00:00
Philadelphia,39.9523,-75.1638,7.68,32,1,2.43,2021-11-24 21:00:00
Philadelphia,39.9523,-75.1638,11.08,43,88,2.64,2021-11-25 21:00:00
Philadelphia,39.9523,-75.1638,5.73,48,63,6.93,2021-11-26 21:00:00
San Antonio,29.4241,-98.4936,21.12,27,1,4.0,2021-11-22 21:00:00
San Antonio,29.4241,-98.4936,21.18,29,99,4.79,2021-11-23 21:00:00
San Antonio,29.4241,-98.4936,22.07,76,100,5.73,2021-11-24 21:00:00
San Antonio,29.4241,-98.4936,19.97,51,35,9.28,2021-11-25 21:00:00
San Antonio,29.4241,-98.4936,16.13,34,100,3.19,2021-11-26 21:00:00
San Diego,32.7153,-117.1573,27.97,22,75,2.78,2021-11-22 21:00:00
San Diego,32.7153,-117.1573,20.61,48,100,3.23,2021-11-23 21:00:00
San Diego,32.7153,-117.1573,19.56,59,2,2.39,2021-11-24 21:00:00
San Diego,32.7153,-117.1573,24.61,19,0,5.87,2021-11-25 21:00:00
San Diego,32.7153,-117.1573,23.03,26,0,3.72,2021-11-26 21:00:00
Dallas,32.7668,-96.7836,18.62,26,20,2.33,2021-11-22 21:00:00
Dallas,32.7668,-96.7836,20.06,22,31,5.89,2021-11-23 21:00:00
Dallas,32.7668,-96.7836,21.12,68,99,5.97,2021-11-24 21:00:00
Dallas,32.7668,-96.7836,14.77,34,63,7.5,2021-11-25 21:00:00
Dallas,32.7668,-96.7836,13.27,19,100,0.54,2021-11-26 21:00:00
