City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
New York City,40.7143,-74.006,10.09,64,20,1.34,US,1637613307
Los Angeles,34.0522,-118.2437,30.44,13,1,1.54,US,1637613518
Chicago,41.85,-87.65,3.18,30,20,2.68,US,1637612896
Houston,29.7633,-95.3633,22.41,47,1,1.79,US,1637613198
Phoenix,33.4484,-112.074,28.79,18,40,2.24,US,1637613303
Philadelphia,39.9523,-75.1638,10.01,62,20,2.24,US,1637613343
San Antonio,29.4241,-98.4936,22.86,27,1,3.09,US,1637613444
San Diego,32.7153,-117.1573,31.85,21,75,3.09,US,1637613375
Dallas,32.7668,-96.7836,20.3,26,20,0.89,US,1637613128
Austin,30.2672,-97.7431,22.1,32,1,1.79,US,1637613419
San Jose,37.3394,-121.895,24.53,47,20,0.0,US,1637613485
Fort Worth,32.7254,-97.3208,20.12,33,1,1.34,US,1637613409
Jacksonville,30.3322,-81.6556,23.0,63,90,1.34,US,1637613316
Columbus,39.9612,-82.9988,5.06,58,40,1.34,US,1637613078
Charlotte,35.2271,-80.8431,15.98,67,75,3.09,US,1637613308
Indianapolis,39.7684,-86.158,4.22,48,20,7.2,US,1637613064
San Francisco,37.7749,-122.4194,21.82,54,1,1.34,US,1637612922
Seattle,47.6062,-122.3321,10.66,76,90,2.24,US,1637613310
Denver,39.7392,-104.9847,22.84,13,0,0.45,US,1637613010
Washington,47.5001,-120.5015,9.58,53,98,1.76,US,1637613600
Boston,42.3584,-71.0598,11.73,67,90,2.24,US,1637613146
El Paso,31.8001,-106.2005,17.53,28,75,0.0,US,1637613437
Nashville,36.1659,-86.7844,8.62,43,1,4.92,US,1637613536
Oklahoma City,35.4676,-97.5164,18.43,35,20,5.36,US,1637613443
Las Vegas,36.175,-115.1372,19.85,16,1,0.0,US,1637613363
Detroit,42.3314,-83.0458,3.88,43,1,1.79,US,1637613515
Portland,45.5234,-122.6762,13.3,88,75,0.89,US,1637613308
Memphis,35.1495,-90.049,11.91,35,40,4.12,US,1637613310
Louisville,38.2542,-85.7594,6.09,49,1,2.24,US,1637613601
Milwaukee,43.0006,-87.9668,1.99,28,75,2.68,US,1637613341
Baltimore,39.2904,-76.6122,10.99,45,75,1.79,US,1637613370
Albuquerque,35.0845,-106.6511,18.9,26,20,0.45,US,1637613317
Tucson,32.2217,-110.9265,26.08,20,1,8.75,US,1637612887
Mesa,33.4223,-111.8226,28.49,17,1,0.89,US,1637613420
Fresno,36.6666,-119.8343,23.86,93,90,2.57,US,1637613602
Sacramento,38.4666,-121.3177,21.94,66,1,0.45,US,1637613546
Atlanta,33.749,-84.388,16.43,44,1,0.89,US,1637613602
Kansas City,39.0997,-94.5786,10.31,34,1,2.68,US,1637613346
Colorado Springs,38.8339,-104.8214,20.99,15,40,0.45,US,1637613446
Raleigh,35.7721,-78.6386,13.77,81,75,0.89,US,1637613540
Omaha,41.2586,-95.9378,9.73,38,75,2.24,US,1637613340
Miami,25.7743,-80.1937,30.01,69,75,1.79,US,1637613148
Long Beach,33.767,-118.1892,30.98,11,1,2.57,US,1637613603
Virginia Beach,36.8529,-75.978,10.57,90,100,0.45,US,1637613559
Oakland,42.6667,-83.3999,2.77,49,20,9.77,US,1637613105
Minneapolis,44.98,-93.2638,-0.09,47,75,1.34,US,1637613490
Tampa,27.9475,-82.4584,25.23,66,40,0.45,US,1637613492
Tulsa,36.1001,-95.9003,17.02,34,1,1.34,US,1637613309
Arlington,32.7357,-97.1081,20.01,28,1,0.89,US,1637613300
Wichita,37.6922,-97.3375,15.7,39,40,1.79,US,1637613602
Bakersfield,35.3733,-119.0187,25.46,14,0,1.97,US,1637613604
Aurora,39.7294,-104.8319,22.59,13,20,0.45,US,1637613361
New Orleans,29.9547,-90.0751,20.05,77,90,2.68,US,1637613604
Cleveland,41.4995,-81.6954,3.67,61,90,10.29,US,1637613376
Anaheim,33.8353,-117.9145,31.91,11,1,0.89,US,1637613417
Henderson,36.0397,-114.9819,20.16,17,1,5.14,US,1637613578
Honolulu,21.3069,-157.8583,26.9,70,75,0.89,US,1637613338
